imagePath,Country,Annotator ID
000000008690.jpg,UK,5
000000008762.jpg,UK,4
000000008844.jpg,US,4
000000008899.jpg,UK,5
000000009378.jpg,India,1
000000009400.jpg,Japan,4
000000009448.jpg,Japan,2
000000009483.jpg,Japan,1
000000009590.jpg,UK,4
000000009769.jpg,UK,3
000000009772.jpg,UK,4
000000009891.jpg,Japan,2
000000009914.jpg,US,2
000000010092.jpg,US,5
000000010363.jpg,UK,1
000000010583.jpg,UK,4
000000010707.jpg,UK,2
000000010764.jpg,UK,4
000000010977.jpg,US,1
000000010995.jpg,US,2
000000011051.jpg,US,3
000000011122.jpg,India,2
000000011149.jpg,UK,5
000000011197.jpg,India,1
000000011511.jpg,UK,4
000000011615.jpg,US,5
000000011699.jpg,US,4
000000011760.jpg,US,4
000000011813.jpg,US,2
000000012062.jpg,Japan,2
000000012120.jpg,US,2
000000012280.jpg,US,4
000000012576.jpg,US,5
000000012639.jpg,UK,2
000000012667.jpg,India,4
000000012670.jpg,US,4
000000012748.jpg,Japan,4
000000013004.jpg,India,5
000000013177.jpg,UK,3
000000013201.jpg,Japan,5
000000013291.jpg,India,2
000000013348.jpg,UK,1
000000013546.jpg,UK,3
000000013597.jpg,India,4
000000013659.jpg,Japan,4
000000013729.jpg,UK,3
000000013774.jpg,India,4
000000013923.jpg,UK,3
000000014007.jpg,India,2
000000014038.jpg,UK,1
000000014226.jpg,Japan,3
000000014380.jpg,Japan,2
000000014439.jpg,Japan,5
000000014473.jpg,UK,4
000000014831.jpg,Japan,5
000000014888.jpg,UK,3
000000015079.jpg,US,2
000000015254.jpg,US,5
000000015272.jpg,India,5
000000015278.jpg,India,5
000000015335.jpg,Japan,1
000000015338.jpg,India,1
000000015440.jpg,India,4
000000015497.jpg,UK,4
000000015517.jpg,US,5
000000015597.jpg,US,4
000000015660.jpg,India,3
000000015746.jpg,UK,2
000000015751.jpg,US,1
000000015956.jpg,Japan,4
000000016010.jpg,US,1
000000016228.jpg,US,4
000000016249.jpg,US,4
000000016439.jpg,Japan,5
000000016451.jpg,Japan,1
000000016502.jpg,India,2
000000016598.jpg,India,2
000000016958.jpg,Japan,2
000000017029.jpg,Japan,2
000000017031.jpg,Japan,3
000000017115.jpg,India,2
000000017178.jpg,India,4
000000017182.jpg,US,4
000000017207.jpg,US,1
000000017379.jpg,UK,2
000000017436.jpg,Japan,4
000000017627.jpg,India,2
000000017714.jpg,UK,4
000000017899.jpg,Japan,4
000000017905.jpg,US,4
000000017959.jpg,US,4
000000018150.jpg,US,1
000000018193.jpg,Japan,1
000000018380.jpg,UK,2
000000018491.jpg,Japan,4
000000018519.jpg,India,2
000000018575.jpg,US,2
000000018737.jpg,India,5
000000018770.jpg,India,3
000000018833.jpg,UK,4
000000018837.jpg,Japan,3
000000019042.jpg,UK,2
000000019109.jpg,US,1
000000019221.jpg,UK,1
000000019402.jpg,US,2
000000019432.jpg,UK,4
000000019742.jpg,India,2
000000019786.jpg,UK,1
000000019924.jpg,US,3
000000020059.jpg,India,3
000000020107.jpg,India,4
000000020247.jpg,US,2
000000020333.jpg,US,2
000000020553.jpg,US,3
000000020571.jpg,India,4
000000020992.jpg,Japan,1
000000021167.jpg,UK,4
000000021465.jpg,India,3
000000021503.jpg,UK,2
000000021604.jpg,India,1
000000021839.jpg,Japan,3
000000021879.jpg,UK,5
000000021903.jpg,Japan,3
000000022192.jpg,Japan,2
000000022371.jpg,US,2
000000022396.jpg,Japan,1
000000022479.jpg,US,2
000000022589.jpg,US,3
000000022623.jpg,US,3
000000022705.jpg,US,3
000000022755.jpg,Japan,3
000000022892.jpg,US,2
000000022935.jpg,UK,3
000000022969.jpg,UK,1
000000023023.jpg,Japan,1
000000023034.jpg,Japan,5
000000023126.jpg,India,2
000000023230.jpg,UK,4
000000023272.jpg,UK,5
000000023359.jpg,US,4
000000023666.jpg,India,3
000000023751.jpg,US,5
000000023781.jpg,UK,3
000000023899.jpg,India,1
000000023937.jpg,UK,4
000000024021.jpg,India,1
000000024027.jpg,Japan,1
000000024144.jpg,Japan,3
000000024243.jpg,Japan,5
000000024567.jpg,US,1
000000024610.jpg,Japan,3
000000024919.jpg,Japan,3
000000025057.jpg,US,1
000000025096.jpg,India,5
000000025139.jpg,UK,4
000000025181.jpg,UK,2
000000025228.jpg,UK,5
000000025386.jpg,Japan,4
000000025393.jpg,UK,5
000000025394.jpg,US,1
000000025424.jpg,US,4
000000025560.jpg,Japan,1
000000025593.jpg,India,5
000000025603.jpg,India,1
000000025986.jpg,Japan,1
000000026204.jpg,US,4
000000026465.jpg,India,1
000000026564.jpg,US,3
000000026690.jpg,India,1
000000026926.jpg,Japan,5
000000026941.jpg,US,1
000000027186.jpg,India,4
000000027620.jpg,India,5
000000027696.jpg,India,4
000000027768.jpg,UK,2
000000027932.jpg,India,1
000000027972.jpg,US,3
000000027982.jpg,India,4
000000028285.jpg,US,3
000000028449.jpg,Japan,2
000000028452.jpg,Japan,1
000000028809.jpg,UK,4
000000028993.jpg,India,4
000000029187.jpg,Japan,1
000000029393.jpg,UK,4
000000029397.jpg,Japan,5
000000029596.jpg,UK,5
000000029640.jpg,Japan,3
000000029675.jpg,UK,2
000000029984.jpg,US,5
000000030213.jpg,UK,4
000000030494.jpg,UK,3
000000030504.jpg,Japan,1
000000030675.jpg,Japan,5
000000030785.jpg,US,5
000000030828.jpg,India,3
000000031050.jpg,UK,1
000000031093.jpg,UK,3
000000031118.jpg,India,1
000000031217.jpg,UK,1
000000031248.jpg,US,4
000000031269.jpg,UK,5
000000031296.jpg,US,3
000000031322.jpg,Japan,1
000000031620.jpg,UK,3
000000031735.jpg,UK,5
000000031749.jpg,Japan,5
000000031817.jpg,Japan,2
000000032038.jpg,India,2
000000032081.jpg,Japan,2
000000032285.jpg,UK,2
000000032334.jpg,India,1
000000032570.jpg,UK,5
000000032610.jpg,India,3
000000032735.jpg,India,4
000000032811.jpg,Japan,4
000000032817.jpg,UK,5
000000032861.jpg,India,5
000000032887.jpg,UK,3
000000032901.jpg,UK,3
000000032941.jpg,Japan,4
000000033005.jpg,US,5
000000033104.jpg,India,2
000000033109.jpg,UK,4
000000033114.jpg,UK,5
000000033221.jpg,Japan,3
000000033368.jpg,Japan,3
000000033638.jpg,India,4
000000033707.jpg,Japan,3
000000033759.jpg,Japan,2
000000033854.jpg,Japan,2
000000034071.jpg,Japan,1
000000034139.jpg,US,4
000000034205.jpg,India,4
000000034257.jpg,US,4
000000034417.jpg,India,2
000000034452.jpg,India,4
000000034760.jpg,Japan,1
000000034873.jpg,UK,1
000000035062.jpg,UK,2
000000035197.jpg,Japan,4
000000035279.jpg,US,1
000000035326.jpg,Japan,4
000000035682.jpg,India,2
000000035770.jpg,Japan,1
000000035963.jpg,UK,3
000000036494.jpg,India,2
000000036539.jpg,UK,4
000000036660.jpg,India,3
000000036678.jpg,US,1
000000036844.jpg,US,3
000000036861.jpg,Japan,2
000000036936.jpg,Japan,4
000000037670.jpg,UK,1
000000037689.jpg,Japan,5
000000037740.jpg,India,3
000000037751.jpg,India,3
000000037777.jpg,US,3
000000037988.jpg,UK,1
000000038048.jpg,US,2
000000038070.jpg,UK,4
000000038118.jpg,India,3
000000038210.jpg,UK,3
000000038576.jpg,Japan,1
000000038678.jpg,US,5
000000038825.jpg,US,5
000000038829.jpg,Japan,5
000000039405.jpg,Japan,2
000000039477.jpg,UK,4
000000039480.jpg,India,5
000000039484.jpg,India,5
000000039551.jpg,India,3
000000039670.jpg,US,3
000000039769.jpg,India,2
000000039785.jpg,Japan,2
000000039914.jpg,India,5
000000039951.jpg,Japan,5
000000039956.jpg,Japan,4
000000040036.jpg,US,1
000000040083.jpg,US,5
000000040471.jpg,India,1
000000040757.jpg,US,3
000000041488.jpg,UK,4
000000041633.jpg,US,4
000000041635.jpg,Japan,4
000000041872.jpg,India,1
000000041888.jpg,Japan,5
000000041990.jpg,US,1
000000042070.jpg,UK,3
000000042102.jpg,India,3
000000042178.jpg,Japan,5
000000042276.jpg,India,4
000000042296.jpg,UK,1
000000042528.jpg,Japan,4
000000042563.jpg,UK,4
000000042628.jpg,India,5
000000042888.jpg,India,3
000000042889.jpg,US,1
000000043314.jpg,US,4
000000043435.jpg,India,1
000000043581.jpg,UK,4
000000043737.jpg,Japan,4
000000043816.jpg,Japan,3
000000044068.jpg,Japan,1
000000044195.jpg,India,4
000000044260.jpg,India,4
000000044279.jpg,UK,3
000000044590.jpg,India,2
000000044652.jpg,UK,5
000000044699.jpg,Japan,2
000000044877.jpg,India,5
000000045070.jpg,US,1
000000045090.jpg,US,1
000000045229.jpg,US,1
000000045472.jpg,India,2
000000045550.jpg,US,5
000000045596.jpg,India,3
000000045728.jpg,India,5
000000046031.jpg,India,2
000000046048.jpg,UK,3
000000046252.jpg,UK,2
000000046378.jpg,Japan,3
000000046463.jpg,US,5
000000046497.jpg,India,1
000000046804.jpg,India,3
000000046872.jpg,India,5
000000047010.jpg,US,2
000000047112.jpg,US,5
000000047121.jpg,Japan,3
000000047571.jpg,India,2
000000047585.jpg,India,3
000000047740.jpg,US,3
000000047769.jpg,US,4
000000047801.jpg,India,5
000000047819.jpg,US,4
000000047828.jpg,Japan,1
000000048153.jpg,India,1
000000048396.jpg,US,3
000000048504.jpg,UK,3
000000048555.jpg,UK,5
000000048564.jpg,UK,3
000000048924.jpg,Japan,2
000000049060.jpg,US,3
000000049091.jpg,UK,1
000000049259.jpg,UK,4
000000049269.jpg,India,1
000000049759.jpg,US,1
000000049761.jpg,UK,1
000000049810.jpg,Japan,2
000000050006.jpg,UK,3
000000050145.jpg,US,3
000000050149.jpg,US,5
000000050165.jpg,UK,4
000000050326.jpg,US,5
000000050331.jpg,UK,5
000000050380.jpg,India,5
000000050638.jpg,UK,5
000000050679.jpg,US,5
000000050811.jpg,UK,3
000000050828.jpg,Japan,1
000000050844.jpg,UK,2
000000050896.jpg,Japan,2
000000050943.jpg,Japan,1
000000051008.jpg,Japan,4
000000051309.jpg,Japan,5
000000051314.jpg,India,3
000000051326.jpg,US,1
000000051598.jpg,India,5
000000051610.jpg,Japan,3
000000051712.jpg,India,1
000000051738.jpg,Japan,2
000000051938.jpg,UK,5
000000051961.jpg,Japan,1
000000051976.jpg,Japan,2
000000052007.jpg,US,2
000000052017.jpg,India,1
000000052412.jpg,US,1
000000052413.jpg,India,5
000000052462.jpg,Japan,4
000000052507.jpg,UK,2
000000052565.jpg,UK,2
000000052591.jpg,US,1
000000052891.jpg,US,3
000000052996.jpg,India,4
000000053505.jpg,US,4
000000053529.jpg,Japan,3
000000053624.jpg,UK,2
000000053626.jpg,US,5
000000053909.jpg,Japan,4
000000053994.jpg,US,3
000000054123.jpg,Japan,3
000000054164.jpg,India,2
000000054592.jpg,India,2
000000054593.jpg,India,5
000000054605.jpg,India,3
000000054628.jpg,India,2
000000054654.jpg,India,2
000000054931.jpg,UK,5
000000054967.jpg,Japan,2
000000055002.jpg,India,2
000000055022.jpg,US,1
000000055072.jpg,India,2
000000055150.jpg,India,5
000000055167.jpg,UK,4
000000055299.jpg,US,3
000000055528.jpg,UK,5
000000055950.jpg,US,1
000000056127.jpg,Japan,3
000000056288.jpg,Japan,5
000000056344.jpg,Japan,3
000000056350.jpg,US,2
000000056545.jpg,India,2
000000057027.jpg,Japan,4
000000057149.jpg,Japan,2
000000057150.jpg,US,5
000000057232.jpg,Japan,2
